Date,Callsoffered
10/1/2018,126
10/2/2018,71
10/3/2018,73
10/4/2018,66
10/5/2018,58
10/8/2018,78
10/9/2018,68
10/10/2018,77
10/11/2018,58
10/12/2018,66
10/15/2018,129
10/16/2018,160
10/17/2018,113
10/18/2018,110
10/19/2018,89
10/22/2018,119
10/23/2018,101
10/24/2018,83
10/25/2018,80
10/26/2018,62
10/29/2018,113
10/30/2018,124
10/31/2018,93
11/1/2018,189
11/2/2018,196
11/5/2018,331
11/6/2018,259
11/7/2018,254
11/8/2018,192
11/9/2018,294
11/12/2018,160
11/13/2018,568
11/14/2018,577
11/15/2018,553
11/16/2018,100
11/19/2018,123
11/20/2018,102
11/21/2018,95
11/23/2018,40
11/26/2018,122
11/27/2018,131
11/28/2018,97
11/29/2018,96
11/30/2018,111
12/3/2018,356
12/4/2018,278
12/5/2018,180
12/6/2018,133
12/7/2018,179
12/10/2018,144
12/11/2018,116
12/12/2018,110
12/13/2018,81
12/14/2018,101
12/17/2018,138
12/18/2018,139
12/19/2018,124
12/20/2018,89
12/21/2018,105
12/26/2018,129
12/27/2018,114
12/28/2018,111
12/31/2018,62
1/2/2019,140
1/3/2019,132
1/4/2019,103
1/7/2019,123
1/8/2019,100
1/9/2019,79
1/10/2019,72
1/11/2019,73
1/14/2019,89
1/15/2019,89
1/16/2019,68
1/17/2019,68
1/18/2019,72
1/21/2019,44
1/22/2019,91
1/23/2019,85
1/24/2019,70
1/25/2019,85
1/28/2019,88
1/29/2019,81
1/30/2019,72
1/31/2019,60
2/1/2019,90
2/4/2019,140
2/5/2019,91
2/6/2019,80
2/7/2019,78
2/8/2019,77
2/11/2019,92
2/12/2019,71
2/13/2019,76
2/14/2019,71
2/15/2019,74
2/18/2019,68
2/19/2019,108
2/20/2019,81
2/21/2019,70
2/22/2019,69
2/25/2019,109
2/26/2019,82
2/27/2019,77
2/28/2019,114
3/1/2019,98
3/4/2019,102
3/5/2019,101
3/6/2019,78
3/7/2019,67
3/8/2019,65
3/11/2019,105
3/12/2019,83
3/13/2019,59
3/14/2019,58
3/15/2019,56
3/18/2019,73
3/19/2019,78
3/20/2019,70
3/21/2019,61
3/22/2019,61
3/25/2019,96
3/26/2019,61
3/27/2019,62
3/28/2019,61
3/29/2019,94
4/1/2019,102
4/2/2019,67
4/3/2019,54
4/4/2019,58
4/5/2019,69
4/8/2019,87
4/9/2019,63
4/10/2019,59
4/11/2019,63
4/12/2019,62
4/15/2019,74
4/16/2019,57
4/17/2019,42
4/18/2019,52
4/19/2019,26
4/22/2019,81
4/23/2019,81
4/24/2019,52
4/25/2019,46
4/26/2019,49
4/29/2019,82
4/30/2019,62
5/1/2019,72
5/2/2019,38
5/3/2019,53
5/6/2019,59
5/7/2019,47
5/8/2019,44
5/9/2019,38
5/10/2019,49
5/13/2019,64
5/14/2019,62
5/15/2019,50
5/16/2019,35
5/17/2019,58
5/20/2019,59
5/21/2019,51
5/22/2019,55
5/23/2019,44
5/24/2019,26
5/28/2019,72
5/29/2019,63
5/30/2019,58
5/31/2019,44
6/3/2019,85
6/4/2019,43
6/5/2019,66
6/6/2019,49
6/7/2019,59
6/10/2019,79
6/11/2019,76
6/12/2019,58
6/13/2019,43
6/14/2019,49
6/17/2019,61
6/18/2019,60
6/19/2019,49
6/20/2019,49
6/21/2019,47
6/24/2019,66
6/25/2019,63
6/26/2019,55
6/27/2019,39
6/28/2019,55
7/1/2019,75
7/2/2019,58
7/3/2019,60
7/5/2019,71
7/8/2019,105
7/9/2019,78
7/10/2019,91
7/11/2019,71
7/12/2019,59
7/15/2019,86
7/16/2019,58
7/17/2019,48
7/18/2019,68
7/19/2019,36
7/22/2019,93
7/23/2019,55
7/24/2019,57
7/25/2019,54
7/26/2019,43
7/29/2019,87
7/30/2019,87
7/31/2019,51
8/1/2019,72
8/2/2019,46
8/5/2019,69
8/6/2019,49
8/7/2019,56
8/8/2019,57
8/9/2019,47
8/12/2019,68
8/13/2019,75
8/14/2019,62
8/15/2019,35
8/16/2019,54
8/19/2019,75
8/20/2019,56
8/21/2019,49
8/22/2019,41
8/23/2019,44
8/26/2019,74
8/27/2019,51
8/28/2019,55
8/29/2019,54
8/30/2019,66
9/3/2019,92
9/4/2019,57
9/5/2019,39
